,country,code,indicator,time,percentage
3025,Ukraine,UKR,"Enrolment in tertiary education, all programmes, both sexes (number)",1983,3.3231
3026,United Arab Emirates,ARE,"Enrolment in tertiary education, all programmes, both sexes (number)",1983,0.3588
3027,United Kingdom,GBR,"Enrolment in tertiary education, all programmes, both sexes (number)",1983,1.7406
3028,United States,USA,"Enrolment in tertiary education, all programmes, both sexes (number)",1983,5.3149
3029,Uruguay,URY,"Enrolment in tertiary education, all programmes, both sexes (number)",1983,1.9274
3030,Uzbekistan,UZB,"Enrolment in tertiary education, all programmes, both sexes (number)",1983,NA
3031,Vanuatu,VUT,"Enrolment in tertiary education, all programmes, both sexes (number)",1983,NA
3032,"Venezuela, RB",VEN,"Enrolment in tertiary education, all programmes, both sexes (number)",1983,2.1272
3033,Vietnam,VNM,"Enrolment in tertiary education, all programmes, both sexes (number)",1983,NA
3034,Virgin Islands (U.S.),VIR,"Enrolment in tertiary education, all programmes, both sexes (number)",1983,2.7345
3035,West Bank and Gaza,PSE,"Enrolment in tertiary education, all programmes, both sexes (number)",1983,NA
3036,"Yemen, Rep.",YEM,"Enrolment in tertiary education, all programmes, both sexes (number)",1983,NA
3037,Zambia,ZMB,"Enrolment in tertiary education, all programmes, both sexes (number)",1983,0.1355
3038,Zimbabwe,ZWE,"Enrolment in tertiary education, all programmes, both sexes (number)",1983,0.1224
3039,Afghanistan,AFG,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3040,Albania,ALB,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.6772
3041,Algeria,DZA,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3042,American Samoa,ASM,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,2.5484
3043,Andorra,AND,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3044,Angola,AGO,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3045,Antigua and Barbuda,ATG,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3046,Argentina,ARG,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,2.2784
3047,Armenia,ARM,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3048,Aruba,ABW,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3049,Australia,AUS,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,2.3063
3050,Austria,AUT,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,2.0383
3051,Azerbaijan,AZE,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3052,"Bahamas, The",BHS,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,1.5744
3053,Bahrain,BHR,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3054,Bangladesh,BGD,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.4938
3055,Barbados,BRB,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,2.009
3056,Belarus,BLR,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,3.4823
3057,Belgium,BEL,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,2.3022
3058,Belize,BLZ,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3059,Benin,BEN,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.164
3060,Bermuda,BMU,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3061,Bhutan,BTN,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3062,Bolivia,BOL,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3063,Bosnia and Herzegovina,BIH,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3064,Botswana,BWA,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.1641
3065,Brazil,BRA,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3066,British Virgin Islands,VGB,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3067,Brunei Darussalam,BRN,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.2782
3068,Bulgaria,BGR,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,1.1005
3069,Burkina Faso,BFA,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.0452
3070,Burundi,BDI,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.0522
3071,Cabo Verde,CPV,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3072,Cambodia,KHM,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.0184
3073,Cameroon,CMR,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.1595
3074,Canada,CAN,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3075,Cayman Islands,CYM,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3076,Central African Republic,CAF,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.0974
3077,Chad,TCD,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3078,Channel Islands,CHI,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3079,Chile,CHL,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,1.562
3080,China,CHN,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.2093
3081,Colombia,COL,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,1.2907
3082,Comoros,COM,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3083,"Congo, Dem. Rep.",COD,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.1318
3084,"Congo, Rep.",COG,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.5
3085,Costa Rica,CRI,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,2.2629
3086,Cote d'Ivoire,CIV,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.198
3087,Croatia,HRV,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3088,Cuba,CUB,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,1.9235
3089,Curacao,CUW,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3090,Cyprus,CYP,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.3155
3091,Czech Republic,CZE,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,1.089
3092,Denmark,DNK,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,2.2137
3093,Djibouti,DJI,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3094,Dominica,DMA,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.0785
3095,Dominican Republic,DOM,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3096,Ecuador,ECU,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,3.0104
3097,"Egypt, Arab Rep.",EGY,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,1.8211
3098,El Salvador,SLV,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,1.2996
3099,Equatorial Guinea,GNQ,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3100,Eritrea,ERI,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3101,Estonia,EST,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3102,Ethiopia,ETH,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.0407
3103,Faroe Islands,FRO,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3104,Fiji,FJI,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.2757
3105,Finland,FIN,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,2.4612
3106,France,FRA,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3107,French Polynesia,PYF,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.1045
3108,Gabon,GAB,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.4009
3109,"Gambia, The",GMB,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3110,Georgia,GEO,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3111,Germany,DEU,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3112,Ghana,GHA,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3113,Gibraltar,GIB,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3114,Greece,GRC,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,1.5008
3115,Greenland,GRL,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3116,Grenada,GRD,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.5433
3117,Guam,GUM,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3118,Guatemala,GTM,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.5939
3119,Guinea,GIN,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.231
3120,Guinea-Bissau,GNB,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3121,Guyana,GUY,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.2723
3122,Haiti,HTI,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.1015
3123,Honduras,HND,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.8613
3124,"Hong Kong SAR, China",HKG,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,1.3813
3125,Hungary,HUN,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.9361
3126,Iceland,ISL,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,2.1761
3127,India,IND,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.5492
3128,Indonesia,IDN,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.5149
3129,"Iran, Islamic Rep.",IRN,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3130,Iraq,IRQ,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.8342
3131,Ireland,IRL,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,1.8277
3132,Isle of Man,IMN,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3133,Israel,ISR,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,2.7146
3134,Italy,ITA,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,1.9802
3135,Jamaica,JAM,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3136,Japan,JPN,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,2.008
3137,Jordan,JOR,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,2.0265
3138,Kazakhstan,KAZ,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3139,Kenya,KEN,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.1048
3140,Kiribati,KIR,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3141,"Korea, Dem. People’s Rep.",PRK,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3142,"Korea, Rep.",KOR,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,2.98
3143,Kosovo,XKX,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3144,Kuwait,KWT,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,1.1612
3145,Kyrgyz Republic,KGZ,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3146,Lao PDR,LAO,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.1336
3147,Latvia,LVA,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,1.7873
3148,Lebanon,LBN,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3149,Lesotho,LSO,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.0922
3150,Liberia,LBR,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3151,Libya,LBY,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3152,Liechtenstein,LIE,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3153,Lithuania,LTU,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3154,Luxembourg,LUX,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.2683
3155,"Macao SAR, China",MAC,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3157,Madagascar,MDG,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.3493
3158,Malawi,MWI,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.0404
3159,Malaysia,MYS,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.5118
3160,Maldives,MDV,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3161,Mali,MLI,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.0926
3162,Malta,MLT,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.4044
3163,Marshall Islands,MHL,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3164,Mauritania,MRT,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3165,Mauritius,MUS,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.0784
3166,Mexico,MEX,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,1.4868
3167,"Micronesia, Fed. Sts.",FSM,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3168,Moldova,MDA,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3169,Monaco,MCO,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3170,Mongolia,MNG,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,2.5316
3171,Montenegro,MNE,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3172,Morocco,MAR,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.6041
3173,Mozambique,MOZ,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3174,Myanmar,MMR,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.4816
3175,Namibia,NAM,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3176,Nauru,NRU,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3177,Nepal,NPL,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.3372
3178,Netherlands,NLD,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,2.665
3179,New Caledonia,NCL,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.4352
3180,New Zealand,NZL,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,2.9672
3181,Nicaragua,NIC,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.8709
3182,Niger,NER,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.0365
3183,Nigeria,NGA,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.2554
3184,Northern Mariana Islands,MNP,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3185,Norway,NOR,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,2.206
3186,Oman,OMN,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.0064
3187,Pakistan,PAK,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3188,Palau,PLW,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3189,Panama,PAN,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,2.4063
3190,Papua New Guinea,PNG,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.1525
3191,Paraguay,PRY,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.9297
3192,Peru,PER,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,2.2012
3193,Philippines,PHL,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,2.9843
3194,Poland,POL,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,1.2893
3195,Portugal,PRT,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,1.0135
3196,Puerto Rico,PRI,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3197,Qatar,QAT,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,1.2802
3198,Romania,ROU,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.7687
3199,Russian Federation,RUS,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,3.901
3200,Rwanda,RWA,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.0289
3201,Samoa,WSM,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3202,San Marino,SMR,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3203,Sao Tome and Principe,STP,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3204,Saudi Arabia,SAU,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.7072
3205,Senegal,SEN,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.1908
3206,Serbia,SRB,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3207,Seychelles,SYC,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3208,Sierra Leone,SLE,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.0538
3209,Singapore,SGP,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,1.3155
3210,Sint Maarten (Dutch part),SXM,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3211,Slovak Republic,SVK,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3212,Slovenia,SVN,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,1.4183
3213,Solomon Islands,SLB,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3214,Somalia,SOM,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3215,South Africa,ZAF,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3216,South Sudan,SSD,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3217,Spain,ESP,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,2.1142
3218,Sri Lanka,LKA,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.4126
3219,St. Kitts and Nevis,KNA,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.1588
3220,St. Lucia,LCA,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.3234
3221,St. Martin (French part),MAF,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3222,St. Vincent and the Grenadines,VCT,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3223,Sudan,SDN,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3224,Suriname,SUR,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.8231
3226,Sweden,SWE,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,2.2095
3227,Switzerland,CHE,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,1.485
3228,Syrian Arab Republic,SYR,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,1.5156
3229,Tajikistan,TJK,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3230,Tanzania,TZA,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.0227
3231,Thailand,THA,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,2.1922
3232,Timor-Leste,TLS,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3233,Togo,TGO,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.1348
3234,Tonga,TON,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.725
3235,Trinidad and Tobago,TTO,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.429
3236,Tunisia,TUN,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.4965
3237,Turkey,TUR,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.6964
3238,Turkmenistan,TKM,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3239,Turks and Caicos Islands,TCA,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3240,Tuvalu,TUV,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3241,Uganda,UGA,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3242,Ukraine,UKR,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,3.3195
3243,United Arab Emirates,ARE,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.4467
3244,United Kingdom,GBR,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,1.7727
3245,United States,USA,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,5.2856
3246,Uruguay,URY,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3247,Uzbekistan,UZB,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3248,Vanuatu,VUT,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3249,"Venezuela, RB",VEN,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,2.2355
3250,Vietnam,VNM,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3251,Virgin Islands (U.S.),VIR,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3252,West Bank and Gaza,PSE,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3253,"Yemen, Rep.",YEM,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,NA
3254,Zambia,ZMB,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.1308
3255,Zimbabwe,ZWE,"Enrolment in tertiary education, all programmes, both sexes (number)",1984,0.1386
3256,Afghanistan,AFG,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3257,Albania,ALB,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,0.7179
3258,Algeria,DZA,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3259,American Samoa,ASM,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,2.204
3260,Andorra,AND,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3261,Angola,AGO,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3262,Antigua and Barbuda,ATG,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3263,Argentina,ARG,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,2.8003
3264,Armenia,ARM,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3265,Aruba,ABW,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3266,Australia,AUS,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,2.3483
3267,Austria,AUT,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,2.1852
3268,Azerbaijan,AZE,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3269,"Bahamas, The",BHS,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,1.6903
3270,Bahrain,BHR,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,1.0097
3271,Bangladesh,BGD,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,0.508
3272,Barbados,BRB,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,2.0397
3273,Belarus,BLR,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,3.4747
3274,Belgium,BEL,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,2.4929
3275,Belize,BLZ,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3276,Benin,BEN,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,0.1707
3277,Bermuda,BMU,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3278,Bhutan,BTN,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3279,Bolivia,BOL,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3280,Bosnia and Herzegovina,BIH,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3281,Botswana,BWA,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,0.1812
3282,Brazil,BRA,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3283,British Virgin Islands,VGB,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3284,Brunei Darussalam,BRN,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3285,Bulgaria,BGR,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,1.1644
3286,Burkina Faso,BFA,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,0.0498
3287,Burundi,BDI,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,0.0531
3288,Cabo Verde,CPV,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3289,Cambodia,KHM,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,0.0255
3290,Cameroon,CMR,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,0.1762
3291,Canada,CAN,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3292,Cayman Islands,CYM,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3293,Central African Republic,CAF,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,0.0992
3294,Chad,TCD,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,0.0322
3295,Channel Islands,CHI,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3296,Chile,CHL,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,1.6108
3297,China,CHN,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,0.2613
3298,Colombia,COL,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,1.3071
3299,Comoros,COM,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3300,"Congo, Dem. Rep.",COD,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,0.1294
3301,"Congo, Rep.",COG,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,0.5084
3302,Costa Rica,CRI,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,2.3302
3303,Cote d'Ivoire,CIV,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,0.1982
3304,Croatia,HRV,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3305,Cuba,CUB,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,2.101
3306,Curacao,CUW,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3307,Cyprus,CYP,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,0.3666
3308,Czech Republic,CZE,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,1.0576
3309,Denmark,DNK,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,2.2402
3310,Djibouti,DJI,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3311,Dominica,DMA,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,0.082
3312,Dominican Republic,DOM,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3313,Ecuador,ECU,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,3.095
3314,"Egypt, Arab Rep.",EGY,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,1.7015
3315,El Salvador,SLV,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,1.428
3316,Equatorial Guinea,GNQ,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3317,Eritrea,ERI,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3318,Estonia,EST,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3319,Ethiopia,ETH,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3320,Faroe Islands,FRO,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3321,Fiji,FJI,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,0.325
3322,Finland,FIN,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,2.472
3323,France,FRA,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,2.2161
3324,French Polynesia,PYF,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3325,Gabon,GAB,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
3326,"Gambia, The",GMB,"Enrolment in tertiary education, all programmes, both sexes (number)",1985,NA
